,Rural_Urban,Area,School_Name,Medium,School_Status,Category_Code,Category_Name,School_Type_Code,School_Type_Name
918,Urban,MITHA NAGAR,J N DUGGAD SECONDARY,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
919,Urban,MITHA NAGAR,DNYAJYOT PRATHMIK SCHOOL,4,Operational,2,Primary with Upper Primary,3,Co-Education
920,Urban,MITHA NAGAR,RAJMATA JIJAMAI PRATHMIK VIDYA,4,Operational,1,Primary,3,Co-Education
921,Urban,MITHA NAGAR,MARATHI PRATHMIK VID,4,Operational,2,Primary with Upper Primary,3,Co-Education
922,Urban,MITHA NAGAR,JUPITER ENG SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
923,Urban,MITHA NAGAR,MOUNT CAREMEL PRIMARY SCHO,0,Operational,1,Primary,2,Girls
924,Urban,MITHA NAGAR,NEW DON SCH MEN ROAD KONDHWA,0,Operational,2,Primary with Upper Primary,3,Co-Education
925,Urban,MITHA NAGAR,NIKOS PUBLIC SCHOOL KONDHWA,0,Operational,2,Primary with Upper Primary,3,Co-Education
926,Urban,MITHA NAGAR,ROSARY HIGHSCHOOL,0,Operational,8,Secondary Only,3,Co-Education
927,Urban,MITHA NAGAR,NEW DON HIGHSCHOOL ENGLISH,0,Operational,8,Secondary Only,3,Co-Education
928,Urban,MITHA NAGAR,ROSARY PRIMARY SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
929,Urban,MITHA NAGAR,NEW GRACE ENGLISH SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
930,Urban,MITHA NAGAR,VALI VIEW SHCOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
931,Urban,MITHA NAGAR,RAJIV GANDHI ENG PRIMARY SCH.,0,Operational,2,Primary with Upper Primary,3,Co-Education
932,Urban,MITHA NAGAR,JADABAI DAGDU ENGLISH SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
933,Urban,MITHA NAGAR,VALLY VIEW HIGH SCHOOL,0,Operational,8,Secondary Only,3,Co-Education
934,Urban,MITHA NAGAR,RAJIV GANDHI ENGLISH MADHYAMIK,0,Operational,8,Secondary Only,3,Co-Education
935,Urban,MITHA NAGAR,ISMAIL HASAN URDU PRI,6,Operational,2,Primary with Upper Primary,3,Co-Education
936,Urban,MITHA NAGAR,P. M. C. 82 G BHAG,4,Operational,2,Primary with Upper Primary,3,Co-Education
938,Urban,MITHA NAGAR,FAIZUL ULLUM SCHOOL,6,Operational,2,Primary with Upper Primary,3,Co-Education
939,Urban,MITHA NAGAR,RIMS INTERNATIONAL,0,Operational,3,Pr. with Up.Pr. sec. and H.Sec.,3,Co-Education
940,Urban,MITHA NAGAR,"SINHGAD COLLEGE OF ARTS, COM & SCI",0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
941,Urban,MITHA NAGAR,"PMET COLLEGE OF ARTS, COM & SCI",0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
942,Urban,MITHA NAGAR,SAI PRIMARY ENGLISH SCHOOL,0,Operational,1,Primary,3,Co-Education
943,Urban,MITHA NAGAR,UMMAT URDU SCHOOL,6,Operational,2,Primary with Upper Primary,1,Boys
944,Urban,MITHA NAGAR,NEW GRACE ENGLISH HIGH SCHOOL,0,Operational,8,Secondary Only,3,Co-Education
945,Urban,MUNDHAWA MAGARPATTA,PMC 67 G,4,Operational,1,Primary,2,Girls
946,Urban,MUNDHAWA MAGARPATTA,PMC  104 B,4,Operational,1,Primary,1,Boys
947,Urban,MUNDHAWA MAGARPATTA,PMC ENG MED SHAHU,0,Operational,2,Primary with Upper Primary,3,Co-Education
948,Urban,MUNDHAWA MAGARPATTA,PMC 53 B,4,Operational,2,Primary with Upper Primary,1,Boys
949,Urban,MUNDHAWA MAGARPATTA,PMC 20 G,4,Operational,2,Primary with Upper Primary,2,Girls
950,Urban,MUNDHAWA MAGARPATTA,PMC VINI 15,4,Operational,2,Primary with Upper Primary,3,Co-Education
951,Urban,MUNDHAWA MAGARPATTA,PMC 77 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
952,Urban,MUNDHAWA MAGARPATTA,H M LONKAR SEC &H SEC,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
953,Urban,MUNDHAWA MAGARPATTA,VIDYA PRA MAGARPATTA CITY ,0,Operational,6,Pr. Up Pr. and Secondary Only,3,Co-Education
954,Urban,SALISBURY PARK,P.M.C.SCHOOL NO.8 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
955,Urban,SALISBURY PARK,P.M.C.SCHOOL NO.25 B URDU,6,Operational,2,Primary with Upper Primary,3,Co-Education
956,Urban,SALISBURY PARK,PMC 8 B BHAG,0,Operational,2,Primary with Upper Primary,3,Co-Education
957,Urban,SALISBURY PARK,PMC 82  G ENG,0,Operational,2,Primary with Upper Primary,3,Co-Education
958,Urban,SALISBURY PARK,P.M.C. SCHOOL NO.66 G,4,Operational,2,Primary with Upper Primary,2,Girls
959,Urban,SALISBURY PARK,P.M.C. SCHOOL NO.105 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
960,Urban,SALISBURY PARK,VIMLABAI LUNKAD VIDLAYA,4,Operational,2,Primary with Upper Primary,3,Co-Education
961,Urban,SALISBURY PARK,MOLEDINA HIGH SCHOOL ,0,Operational,5,Up. Pr. Secondary and Higher Sec,1,Boys
962,Urban,SALISBURY PARK,MOLEDINA HSCH URDU,6,Operational,5,Up. Pr. Secondary and Higher Sec,1,Boys
963,Urban,SALISBURY PARK,MAHAVEER ENG MED,0,Operational,2,Primary with Upper Primary,3,Co-Education
964,Urban,SALISBURY PARK,FAIJUULUM PRIMARY,6,Operational,1,Primary,3,Co-Education
965,Urban,SALISBURY PARK,MAHAVIR ENG MED HIGHSCHOOL,0,Operational,8,Secondary Only,3,Co-Education
966,Urban,SALISBURY PARK,HUM MAC HENRY PRI,0,Operational,2,Primary with Upper Primary,3,Co-Education
967,Urban,SALISBURY PARK,HUM MAC HENRY SEC ,0,Operational,10,Secondary with Higher Secondary,3,Co-Education
968,Urban,SALISBURY PARK,P.M.C. SCHOOL NO. 105 ENG,0,Operational,1,Primary,3,Co-Education
969,Urban,SALISBURY PARK,MAHAVIR JR. COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
970,Urban,SHINDYANCHI CHHATRI,P. M. C. SCHOOL NO 62 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
971,Urban,SHINDYANCHI CHHATRI,P. M. C. VINI  NO 11,4,Operational,2,Primary with Upper Primary,3,Co-Education
972,Urban,SHINDYANCHI CHHATRI,P. M. C. SCHOOL NO 88 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
973,Urban,SHINDYANCHI CHHATRI,PMC 62 B ENG,0,Operational,1,Primary,3,Co-Education
974,Urban,SHINDYANCHI CHHATRI,KROOT MEMORIA SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
975,Urban,SHINDYANCHI CHHATRI,SUNGRACE PRIMARY,0,Operational,2,Primary with Upper Primary,3,Co-Education
976,Urban,SHINDYANCHI CHHATRI,SUNFRACE SECONDARY,0,Operational,8,Secondary Only,3,Co-Education
977,Urban,SHINDYANCHI CHHATRI,KROOT MEMORIA  HIGH SCHOOL,0,Operational,8,Secondary Only,3,Co-Education
978,Urban,SOPANBAUG KAWADE WADI,PMC 76 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
979,Urban,SOPANBAUG KAWADE WADI,PMC 75 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
980,Urban,SOPANBAUG KAWADE WADI,P. M. C. SCHOOL NO 145 B,4,Operational,2,Primary with Upper Primary,1,Boys
981,Urban,SOPANBAUG KAWADE WADI,PMC 140 B,4,Operational,2,Primary with Upper Primary,2,Girls
982,Urban,SOPANBAUG KAWADE WADI,JIJAI SHIKSHAN MANDIR,4,Operational,1,Primary,3,Co-Education
983,Urban,SOPANBAUG KAWADE WADI,JADHAV ADARSA PRI,4,Operational,2,Primary with Upper Primary,3,Co-Education
984,Urban,SOPANBAUG KAWADE WADI,ADARSHA PRIMARY,4,Operational,2,Primary with Upper Primary,3,Co-Education
985,Urban,SOPANBAUG KAWADE WADI,ADARSHA SECONDARY ,4,Operational,8,Secondary Only,3,Co-Education
986,Urban,SOPANBAUG KAWADE WADI,VISHAL  MAHARASHTRA URDU,6,Operational,2,Primary with Upper Primary,3,Co-Education
987,Urban,SOPANBAUG KAWADE WADI,HADPSAR VIDHYALAYA,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
988,Urban,SOPANBAUG KAWADE WADI,VISHAL MAHARASHTRA URDU,6,Operational,8,Secondary Only,3,Co-Education
989,Urban,SOPANBAUG KAWADE WADI,VISHAL MAHARASHTRA ENG,0,Operational,2,Primary with Upper Primary,3,Co-Education
990,Urban,SOPANBAUG KAWADE WADI,LEADY JUBEDA ENG,0,Operational,8,Secondary Only,3,Co-Education
991,Urban,WANWADI RAMTEKADI,KRANTIVEER PHADKE ENG,0,Operational,2,Primary with Upper Primary,3,Co-Education
992,Urban,WANWADI RAMTEKADI,P. M. C. SCHOOL NO 69 B,4,Operational,2,Primary with Upper Primary,1,Boys
993,Urban,WANWADI RAMTEKADI,P. M. C. SCHOOL NO 38 B,4,Operational,2,Primary with Upper Primary,2,Girls
994,Urban,WANWADI RAMTEKADI,AYODHYA KARNARBADIR  VID,4,Operational,2,Primary with Upper Primary,3,Co-Education
995,Urban,WANWADI RAMTEKADI,APANG KALYANIKARI SANSTHA,4,Operational,2,Primary with Upper Primary,3,Co-Education
996,Urban,CITY POST GADIKHANA,P. M. C.  SCHOOL NO 12 G,6,Operational,2,Primary with Upper Primary,3,Co-Education
997,Urban,CITY POST GADIKHANA,P. M. C.  SCH VIDHYANIKETAN 3,6,Operational,2,Primary with Upper Primary,3,Co-Education
998,Urban,CITY POST GADIKHANA,MAULANA JOHAR HIGHSCHOOL,6,Operational,8,Secondary Only,3,Co-Education
999,Urban,CITY POST GADIKHANA,PMC 10 B URDU,6,Operational,2,Primary with Upper Primary,3,Co-Education
1000,Urban,CITY POST GADIKHANA,P. M. C. SCHOOL NO 24 B ,4,Operational,2,Primary with Upper Primary,3,Co-Education
1001,Urban,CITY POST GADIKHANA,PMC 24 G,4,Operational,2,Primary with Upper Primary,3,Co-Education
1002,Urban,CITY POST GADIKHANA,PMC 22B,6,Operational,2,Primary with Upper Primary,3,Co-Education
1003,Urban,CITY POST GADIKHANA,PMC 24 B ENG MED,0,Operational,1,Primary,3,Co-Education
1004,Urban,CITY POST GADIKHANA,NUTAN SAMARTHA VID,4,Operational,2,Primary with Upper Primary,3,Co-Education
1005,Urban,CITY POST GADIKHANA,T. S. PATHAK SCHOOL,4,Operational,1,Primary,3,Co-Education
1006,Urban,CITY POST GADIKHANA,SETH M. J. PRA VID.,1,Operational,1,Primary,3,Co-Education
1007,Urban,CITY POST GADIKHANA,SHREE SANGHVI HIGHSCHOOL,1,Operational,7,Upper Pr. and Secondary,3,Co-Education
1008,Urban,CITY POST GADIKHANA,BADRIYA HISCHOOL,0,Operational,7,Upper Pr. and Secondary,3,Co-Education
1009,Urban,CITY POST GADIKHANA,BADRIYA PRIMARI SCHOOL,0,Operational,1,Primary,3,Co-Education
1010,Urban,CITY POST GADIKHANA,G. S. P. MANDAL SCHOOL ,0,Operational,2,Primary with Upper Primary,3,Co-Education
1011,Urban,CITY POST GADIKHANA,G. S. P. MANDAL SCHOOL MAD,0,Operational,8,Secondary Only,3,Co-Education
1013,Urban,DOKE TALIM RAMOSHI GATE,PMC 27B,4,Operational,2,Primary with Upper Primary,3,Co-Education
1014,Urban,DOKE TALIM RAMOSHI GATE,PMC 26 B ENG ,0,Operational,2,Primary with Upper Primary,3,Co-Education
1015,Urban,DOKE TALIM RAMOSHI GATE,BAL JIVAN VIKAS PRA SCHOOL,4,Operational,2,Primary with Upper Primary,3,Co-Education
1016,Urban,DOKE TALIM RAMOSHI GATE,BANSILAL RAMNATH AGR HINDI VID,2,Operational,2,Primary with Upper Primary,3,Co-Education
1017,Urban,DOKE TALIM RAMOSHI GATE,BABUBHAI URDU PRA SCH.,6,Operational,2,Primary with Upper Primary,3,Co-Education
1018,Urban,DOKE TALIM RAMOSHI GATE,GURUNANAK HIGH SCHOOL,0,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1019,Urban,DOKE TALIM RAMOSHI GATE,B R AGRAWAL VIDYA SECONDARY,2,Operational,8,Secondary Only,3,Co-Education
1020,Urban,DOKE TALIM RAMOSHI GATE,AGNIHOTRI PRI SCH,4,Operational,2,Primary with Upper Primary,3,Co-Education
1021,Urban,DOKE TALIM RAMOSHI GATE,GURUNANAK PRIMARY ENG,0,Operational,1,Primary,3,Co-Education
1022,Urban,DOKE TALIM RAMOSHI GATE,GURUNANAK PRIMARY HINDI,2,Operational,1,Primary,3,Co-Education
1023,Urban,GEN. A. VAIDYA STEDIUM,P. M. C. 14 G  MED SCHOOL,4,Operational,1,Primary,3,Co-Education
1024,Urban,GEN. A. VAIDYA STEDIUM,P. M. C. 86   B MED SCHOOL,4,Operational,2,Primary with Upper Primary,3,Co-Education
1025,Urban,GEN. A. VAIDYA STEDIUM,P. M. C. 7  B MED SCHOOL,4,Operational,2,Primary with Upper Primary,3,Co-Education
1026,Urban,GEN. A. VAIDYA STEDIUM,P. M. C. 22  G  MED SCHOOL,6,Operational,2,Primary with Upper Primary,3,Co-Education
1027,Urban,GEN. A. VAIDYA STEDIUM,SAVITRIBAI PHULE PRASHALA,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1028,Urban,GEN. A. VAIDYA STEDIUM,RAFI AHAMAD KIDWAI URDU HIGHSC,6,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1029,Urban,GEN. A. VAIDYA STEDIUM,SAVITRIBAI ENG MED SCH,0,Operational,1,Primary,3,Co-Education
1030,Urban,GEN. A. VAIDYA STEDIUM,BAPUSAHEB PAWAR PRA SCHOOL,4,Operational,1,Primary,3,Co-Education
1031,Urban,GEN. A. VAIDYA STEDIUM,BAPU PAWAR KANYA SCHOOL,4,Operational,7,Upper Pr. and Secondary,2,Girls
1032,Urban,GEN. A. VAIDYA STEDIUM,HAJI MOHAMAD GULAM,6,Operational,1,Primary,3,Co-Education
1033,Urban,GEN. A. VAIDYA STEDIUM,NEW LIFE CENTRE,0,Operational,2,Primary with Upper Primary,3,Co-Education
1034,Urban,GEN. A. VAIDYA STEDIUM,NEW LIFE CENTRE SECONDARY,0,Operational,8,Secondary Only,3,Co-Education
1035,Urban,GOKHLE HALL MANDAI,KAI DHARA FENKSHE SARAV PATHA,4,Operational,1,Primary,3,Co-Education
1036,Urban,GOKHLE HALL MANDAI,KAI SUNDARABAI RATHI HIGH SCH.,4,Operational,5,Up. Pr. Secondary and Higher Sec,2,Girls
1037,Urban,GOKHLE HALL MANDAI,P. V. G.  SHISHUNIKETAN ,4,Operational,1,Primary,3,Co-Education
1038,Urban,GOKHLE HALL MANDAI,GOPAL PRATHAMIK,4,Operational,1,Primary,3,Co-Education
1039,Urban,GOKHLE HALL MANDAI,BHAVE PRATHAMIK,4,Operational,1,Primary,3,Co-Education
1040,Urban,GOKHLE HALL MANDAI,NUTAN BAL VIKAS MANDIR,4,Operational,2,Primary with Upper Primary,3,Co-Education
1041,Urban,GOKHLE HALL MANDAI,GOPAL HIGHSCHOOL,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
1042,Urban,GOKHLE HALL MANDAI,MAHARASHTRA VIDHYALAYA,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1043,Urban,GOKHLE HALL MANDAI,RENUKA GIRL PRASHALA,4,Operational,5,Up. Pr. Secondary and Higher Sec,2,Girls
1044,Urban,GOKHLE HALL MANDAI,NUTAN BALVIKAS SECONDARY,4,Operational,8,Secondary Only,3,Co-Education
1045,Urban,GOKHLE HALL MANDAI,PRABHUKRUPA BALAK MANDIR,0,Operational,1,Primary,3,Co-Education
1046,Urban,GOKHLE HALL MANDAI,PVG SHISHUNIKETAN SCH,0,Operational,1,Primary,3,Co-Education
1047,Urban,GOKHLE HALL MANDAI,RAMABAI RANADE PRAUDH PRIMARY,4,Operational,1,Primary,2,Girls
1048,Urban,GOKHLE HALL MANDAI,RAMABAI RANADE PRAUDH SECONDARY,4,Operational,7,Upper Pr. and Secondary,2,Girls
1049,Urban,HARKA NAGAR RAJEWADI,P. M. C.  SCHOOL NO 9 B ENG ME,0,Operational,2,Primary with Upper Primary,3,Co-Education
1050,Urban,HARKA NAGAR RAJEWADI,P. M. C.  SCHOOL NO 20 B,6,Operational,2,Primary with Upper Primary,3,Co-Education
1051,Urban,HARKA NAGAR RAJEWADI,P. M. C.  SCHOOL NO 10 G,6,Operational,2,Primary with Upper Primary,3,Co-Education
1052,Urban,HARKA NAGAR RAJEWADI,P. M. C.  SCHOOL NO 9 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
1053,Urban,HARKA NAGAR RAJEWADI,P. M. C. 29 B ENG MED SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
1054,Urban,HARKA NAGAR RAJEWADI,P. M. C. 29 B ENG MED SCHOOL,4,Operational,2,Primary with Upper Primary,3,Co-Education
1055,Urban,HARKA NAGAR RAJEWADI,URDU PRAKTSINGH SCHOOL,6,Operational,2,Primary with Upper Primary,2,Girls
1056,Urban,HARKA NAGAR RAJEWADI,D. C. MISSION SOC,4,Operational,1,Primary,3,Co-Education
1057,Urban,HARKA NAGAR RAJEWADI,R. SHINDE PRA SCHOOL,4,Operational,1,Primary,3,Co-Education
1058,Urban,HARKA NAGAR RAJEWADI,M. JYOTIRAO PHULE GIRL MAD VID,4,Operational,7,Upper Pr. and Secondary,2,Girls
1059,Urban,HARKA NAGAR RAJEWADI,M JYOTIRAO PHULE BOYS MAD VID,4,Operational,7,Upper Pr. and Secondary,1,Boys
1060,Urban,HARKA NAGAR RAJEWADI,B. T. SHAHANI NAVIN HIND PRA.,2,Operational,1,Primary,3,Co-Education
1061,Urban,HARKA NAGAR RAJEWADI,B. T. SHAHANI HINDI HIGHSCHOOL,2,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1062,Urban,HARKA NAGAR RAJEWADI,VINAY PRAIMARY SCHOOL,0,Operational,2,Primary with Upper Primary,3,Co-Education
1063,Urban,HARKA NAGAR RAJEWADI,VINAY HIGH SCHOOL,0,Operational,8,Secondary Only,3,Co-Education
1064,Urban,HARKA NAGAR RAJEWADI,B T SHAHANI NAVIN HIND ENG PRIMARY,0,Operational,2,Primary with Upper Primary,3,Co-Education
1065,Urban,HARKA NAGAR RAJEWADI,DR. BABSAHEB AMBEDKAR ART & COM. COLLEGE,4,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
1066,Urban,JUNA BAZAR,PMC 15 G,4,Operational,2,Primary with Upper Primary,3,Co-Education
1067,Urban,JUNA BAZAR,PMC 13 B URDU,6,Operational,2,Primary with Upper Primary,3,Co-Education
1068,Urban,JUNA BAZAR,PMC 15 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
1069,Urban,JUNA BAZAR,BABURAO SANAS HIGH SCH PMC,4,Operational,5,Up. Pr. Secondary and Higher Sec,2,Girls
1070,Urban,JUNA BAZAR,PMC 15 B ENG MED SCHOOL,0,Operational,1,Primary,3,Co-Education
1071,Urban,JUNA BAZAR,PMC 8 G URDU,6,Operational,2,Primary with Upper Primary,3,Co-Education
1072,Urban,JUNA BAZAR,MADRASE E ISLAMIA,6,Operational,2,Primary with Upper Primary,3,Co-Education
1073,Urban,JUNA BAZAR,MUBARAK HIGHSCHOOL,6,Operational,8,Secondary Only,2,Girls
1074,Urban,KASBA GANPATI,PMC 6 G,4,Operational,2,Primary with Upper Primary,3,Co-Education
1075,Urban,KASBA GANPATI,PMC SCH NO 6 G ENG MED,0,Operational,1,Primary,3,Co-Education
1076,Urban,KASBA GANPATI,P. M. C.  SCHOOL NO 9 G,4,Operational,2,Primary with Upper Primary,3,Co-Education
1077,Urban,KASBA GANPATI,CHILDRENS ACADEMY SECONDARY,0,Operational,8,Secondary Only,3,Co-Education
1078,Urban,KASBA GANPATI,SUBHASH PRATHAMIK SHALA,4,Operational,1,Primary,3,Co-Education
1079,Urban,KASBA GANPATI,BHARAT MARATHI VIDHYALA,4,Operational,1,Primary,3,Co-Education
1080,Urban,KASBA GANPATI,SETH HIRALAL SARAF PRASHALA,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
1081,Urban,KASBA GANPATI,SETH HAKAMCHAND ISHWARDAS GUJ ,1,Operational,2,Primary with Upper Primary,3,Co-Education
1082,Urban,KASBA GANPATI,RCM GUJARATHI SCH,1,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1083,Urban,KASBA GANPATI,CHILDREN ACA PRI,0,Operational,2,Primary with Upper Primary,3,Co-Education
1084,Urban,KASBA GANPATI,SETH R. M. SHAHA ENG MED PRI,0,Operational,2,Primary with Upper Primary,3,Co-Education
1085,Urban,KASBA GANPATI,THE PGK MANDAL ENG MED SCH,0,Operational,8,Secondary Only,3,Co-Education
1086,Urban,KASBA GANPATI,P. M. C.  SCHOOL NO 9 G ENGLISH,0,Operational,1,Primary,3,Co-Education
1087,Urban,K.E.M. HOSPITAL,PMC VINI 12,6,Operational,2,Primary with Upper Primary,3,Co-Education
1088,Urban,K.E.M. HOSPITAL,P. M. C.  SCHOOL NO 19 B MARAT,4,Operational,2,Primary with Upper Primary,3,Co-Education
1089,Urban,K.E.M. HOSPITAL,KC THAKARE ENG MED,0,Operational,6,Pr. Up Pr. and Secondary Only,3,Co-Education
1090,Urban,K.E.M. HOSPITAL,P. M. C.  SCHOOL NO 19 ENG MA,0,Operational,2,Primary with Upper Primary,3,Co-Education
1091,Urban,K.E.M. HOSPITAL,S L RASTE PRIMARY,4,Operational,1,Primary,3,Co-Education
1092,Urban,K.E.M. HOSPITAL,S V UNION TAMIL,5,Operational,1,Primary,3,Co-Education
1093,Urban,K.E.M. HOSPITAL,RASTA PETH EDU SOC MAR,4,Operational,1,Primary,3,Co-Education
1094,Urban,K.E.M. HOSPITAL,SENT MIRAJ SEC,0,Operational,7,Upper Pr. and Secondary,2,Girls
1095,Urban,K.E.M. HOSPITAL,ABASAHEB ATRE NIGHT SCH,0,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1096,Urban,K.E.M. HOSPITAL,S V UNION HISCH,0,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1097,Urban,K.E.M. HOSPITAL,AGARKAR GIRLS HISCH,4,Operational,5,Up. Pr. Secondary and Higher Sec,2,Girls
1098,Urban,K.E.M. HOSPITAL,ATRE DIN PRASHALA,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1099,Urban,K.E.M. HOSPITAL,NAVIN PRA. SCHOOL,4,Operational,1,Primary,3,Co-Education
1100,Urban,K.E.M. HOSPITAL,ANJUMAN A FAIJUL ISMAIL URDU P,6,Operational,2,Primary with Upper Primary,3,Co-Education
1101,Urban,K.E.M. HOSPITAL,PUNE SHI P. M. PRA SCHOOL,4,Operational,2,Primary with Upper Primary,3,Co-Education
1102,Urban,K.E.M. HOSPITAL,RAJA DHANRAJ GIRJI SCHOOL,4,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1103,Urban,K.E.M. HOSPITAL,ANJUMAN A FAIGUL ISMAIL URDU,6,Operational,8,Secondary Only,3,Co-Education
1104,Urban,K.E.M. HOSPITAL,JAWAHAR ENG MED,0,Operational,1,Primary,3,Co-Education
1105,Urban,K.E.M. HOSPITAL,P MOHITE ENG MED,0,Operational,7,Upper Pr. and Secondary,3,Co-Education
1106,Urban,K.E.M. HOSPITAL,S V UNIION ENG PRI,0,Operational,1,Primary,3,Co-Education
1107,Urban,K.E.M. HOSPITAL,SENT MIRAJ PRIMARY,0,Operational,1,Primary,2,Girls
1108,Urban,K.E.M. HOSPITAL,NEW EDU SOCIETY ENG MED PRI,0,Operational,1,Primary,3,Co-Education
1109,Urban,K.E.M. HOSPITAL,ABASAHEB ATRE PRI SCH,0,Operational,1,Primary,3,Co-Education
1110,Urban,K.E.M. HOSPITAL,ABASAHEB ATRE SEC SCHOOL ,0,Operational,5,Up. Pr. Secondary and Higher Sec,3,Co-Education
1111,Urban,K.E.M. HOSPITAL,CES CHAITANYA ENG MED,0,Operational,6,Pr. Up Pr. and Secondary Only,3,Co-Education
1112,Urban,MAMLEDAR KACHERI,VASANTDADA PATIL MAD ,4,Operational,8,Secondary Only,3,Co-Education
1113,Urban,MAMLEDAR KACHERI,CHHATRAPATI SHIVAJI VINI 1,4,Operational,2,Primary with Upper Primary,3,Co-Education
1114,Urban,MAMLEDAR KACHERI,AMBEKAR PRI,4,Operational,1,Primary,3,Co-Education
1115,Urban,MAMLEDAR KACHERI,ADARSHA MARATHI,4,Operational,1,Primary,3,Co-Education
1116,Urban,MAMLEDAR KACHERI,ADARSH GIRL HIGHSCHOO,4,Operational,7,Upper Pr. and Secondary,2,Girls
1117,Urban,MAMLEDAR KACHERI,VEERKAR HIGHSCHOOL,4,Operational,7,Upper Pr. and Secondary,1,Boys
1118,Urban,MAMLEDAR KACHERI,GHARPURE PRASHALA,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
1119,Urban,MAMLEDAR KACHERI,POONA NIGHT SCHOOL,4,Operational,10,Secondary with Higher Secondary,3,Co-Education
1120,Urban,MAMLEDAR KACHERI,SHREE SHIVAJI MARATHA PRI,4,Operational,1,Primary,3,Co-Education
1121,Urban,MAMLEDAR KACHERI,SITARAM PRIMARY,4,Operational,1,Primary,3,Co-Education
1122,Urban,MAMLEDAR KACHERI,SHIVAJI MARATHA HIGHSCHOOL,4,Operational,5,Up. Pr. Secondary and Higher Sec,1,Boys
1123,Urban,MAMLEDAR KACHERI,JIJAMATA HIGHSCHOOL,4,Operational,5,Up. Pr. Secondary and Higher Sec,2,Girls
1124,Urban,MAMLEDAR KACHERI,SENT EDWARD BOYS SCHOOL,4,Operational,2,Primary with Upper Primary,1,Boys
1125,Urban,MAMLEDAR KACHERI,SUSHILA BAI BAHU DHANI JR. COLLEGE,0,Operational,11,Higher Secondary only/Jr. College,3,Co-Education
1126,Urban,NARAYAN PETH NANA WADA,GOGTE ENG MED,0,Operational,2,Primary with Upper Primary,3,Co-Education
1127,Urban,NARAYAN PETH NANA WADA,PMC VINI 7 ,4,Operational,2,Primary with Upper Primary,3,Co-Education
1128,Urban,NARAYAN PETH NANA WADA,PMC 30 B,4,Operational,2,Primary with Upper Primary,3,Co-Education
1129,Urban,NARAYAN PETH NANA WADA,N. V. KINKAR RATRA PRASHALA,4,Operational,8,Secondary Only,1,Boys
1130,Urban,NARAYAN PETH NANA WADA,SNDT KANYASHALA,4,Operational,1,Primary,2,Girls
1131,Urban,NARAYAN PETH NANA WADA,IDEAL PURN PRI,4,Operational,1,Primary,3,Co-Education
1132,Urban,NARAYAN PETH NANA WADA,PARAJAPE HUJURPAGA,4,Operational,1,Primary,2,Girls
1133,Urban,NARAYAN PETH NANA WADA,SNDT HIGHSCH,4,Operational,5,Up. Pr. Secondary and Higher Sec,2,Girls
1134,Urban,NARAYAN PETH NANA WADA,AHILYADEVI HIGHSCHOOL,4,Operational,7,Upper Pr. and Secondary,2,Girls
1135,Urban,NARAYAN PETH NANA WADA,IDEAL ENG SCH,4,Operational,7,Upper Pr. and Secondary,3,Co-Education
1136,Urban,NARAYAN PETH NANA WADA,NMV SCHOOL,4,Operational,1,Primary,3,Co-Education
1137,Urban,NARAYAN PETH NANA WADA,HSCP HIGHSCHOOL,4,Operational,5,Up. Pr. Secondary and Higher Sec,2,Girls
